2018-09-09 09:46:43,296 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2018-09-09 09:46:43,316 [     20]   INFO -        #com.intellij.idea.Main - IDE: PyCharm (build #PY-182.3684.100, 24 Jul 2018 18:43) 
2018-09-09 09:46:43,316 [     20]   INFO -        #com.intellij.idea.Main - OS: Linux (4.14.63-rt40-manjaro, amd64) 
2018-09-09 09:46:43,316 [     20]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_152-release-1248-b8 (JetBrains s.r.o) 
2018-09-09 09:46:43,316 [     20]   INFO -        #com.intellij.idea.Main - JVM: 25.152-b8 (OpenJDK 64-Bit Server VM) 
2018-09-09 09:46:43,319 [     23]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -javaagent:/home/op3ntrp/.config/JetbrainsCrack.jar -XX:ErrorFile=/home/op3ntrp/java_error_in_PYCHARM_%p.log -XX:HeapDumpPath=/home/op3ntrp/java_error_in_PYCHARM.hprof -Didea.paths.selector=PyCharm2018.2 -Djb.vmOptionsFile=/home/op3ntrp/.PyCharm2018.2/config/pycharm64.vmoptions -Didea.platform.prefix=Python 
2018-09-09 09:46:43,319 [     23]   INFO -        #com.intellij.idea.Main - ext: /opt/JetBrains/pycharm-2018.2/jre64/lib/ext: [cldrdata.jar, dnsns.jar, jaccess.jar, jfxrt.jar, localedata.jar, meta-index, nashorn.jar, sunec.jar, sunjce_provider.jar, sunpkcs11.jar, zipfs.jar] 
2018-09-09 09:46:43,319 [     23]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2018-09-09 09:46:43,336 [     40]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 16 ms 
2018-09-09 09:46:44,759 [   1463]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.5 (IDE-managed HiDPI) 
2018-09-09 09:46:44,760 [   1464]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.5 
2018-09-09 09:46:45,470 [   2174]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor java-specific.xml 
2018-09-09 09:46:45,471 [   2175]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor javaee-specific.xml 
2018-09-09 09:46:45,551 [   2255]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2018-09-09 09:46:45,741 [   2445]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2018-09-09 09:46:45,742 [   2446]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2018-09-09 09:46:45,991 [   2695]   INFO - .intellij.idea.IdeaApplication - CPU cores: 8; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@1b1f43eb[Running, parallelism = 7, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@18819626 
2018-09-09 09:46:46,041 [   2745]   INFO - .intellij.idea.IdeaApplication - WM detected: i3 
2018-09-09 09:46:46,523 [   3227]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor java-specific.xml 
2018-09-09 09:46:46,523 [   3227]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor javaee-specific.xml 
2018-09-09 09:46:46,557 [   3261]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2018-09-09 09:46:46,620 [   3324]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2018-09-09 09:46:46,620 [   3324]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2018-09-09 09:46:46,785 [   3489]   INFO - llij.ide.plugins.PluginManager - 56 plugins initialized in 509 ms 
